partner_id,partner_name,country,tier,status,commission_rate,created_at,updated_at,contact_email
PRT0001,Localiza,CL,silver,active,0.1831,2018-12-12 21:26:47,2024-09-14 07:49:01,ops@localiza.com
PRT0002,Movida,BR,gold,active,0.1586,2021-08-03 20:46:17,2024-08-20 03:55:02,ops@movida.com
PRT0003,Unidas,CL,gold,active,0.1862,2019-11-16 21:14:38,2021-03-26 22:18:18,ops@unidas.com
PRT0004,Hertz,CL,,active,0.0935,2019-04-29 01:23:31,2022-04-01 16:35:22,ops@hertz.com
PRT0005,Avis,MX,bronze,active,0.1961,2021-11-28 09:12:06,2024-07-16 05:17:21,ops@avis.com
PRT0006,Budget,BR,bronze,inactive,0.2179,2019-08-21 10:04:34,2021-08-13 16:13:21,ops@budget.com
PRT0007,Enterprise,CL,bronze,active,0.1093,2021-11-09 16:43:21,2022-12-29 10:22:37,ops@enterprise.com
PRT0008,Dollar,AR,silver,active,0.1029,2018-08-10 20:09:25,2021-11-01 18:24:20,ops@dollar.com
PRT0009,Thrifty,CL,gold,active,0.1121,2022-09-27 09:10:59,2022-11-16 05:58:00,ops@thrifty.com
PRT0010,Europcar,US,bronze,active,0.1098,2018-07-25 15:22:48,2022-10-23 16:45:39,ops@europcar.com
PRT0011,Fox Rent A Car,AR,bronze,active,0.1846,2021-11-26 14:28:26,2023-09-23 03:38:40,ops@foxrentacar.com
PRT0012,Alamo,AR,gold,Active,0.1858,2019-11-13 09:44:27,2020-10-19 01:46:22,ops@alamo.com
PRT0013,National,MX,,active,0.1541,2021-08-04 14:31:42,2023-12-12 00:17:04,
PRT0014,Sixt,US,bronze,active,0.0956,2018-12-22 21:35:48,2022-09-03 16:02:37,
PRT0015,OK Rent a Car,AR,gold,Active,0.2019,2020-03-29 07:42:38,2022-10-12 13:22:00,ops@okrentacar.com
PRT0016,Foco Rent a Car,AR,gold,active,0.1639,2019-09-10 23:53:12,,ops@focorentacar.com
PRT0017,Flexways,AR,gold,active,0.092,2020-08-13 09:54:55,2024-10-01 07:59:25,ops@flexways.com
PRT0018,Rentcars Express,AR,silver,inactive,0.1171,2022-07-14 01:27:02,2025-02-10 08:54:39,ops@rentcarsexpress.com
PRT0019,EconoCar,CO,bronze,inactive,0.1359,2022-08-03 12:49:51,2024-03-05 14:57:22,ops@econocar.com
PRT0020,TopDrive,BR,silver,active,0.1624,2019-01-11 22:43:37,,ops@topdrive.com
PRT0001,Localiza,CL,silver,active,0.1831,2018-12-12 21:26:47,2024-09-14 07:49:01,ops@localiza.com
PRT0004,Hertz,CL,,active,0.0935,2019-04-29 01:23:31,2022-04-01 16:35:22,ops@hertz.com
